staff_id,first_name,last_name,full_name,gender,age,contact_number,role,department,specialization,qualification,years_experience,shift,hospital_id,hospital_name,city,governorate,on_leave
5125c240-752d-40f9-b7e5-951618ec1961,Waheed,Abdel Nabi,"Waheed, Abdel Nabi",Male,-60,01089858835,Doctor,Emergency,Paramedic,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
434b44cc-dab3-4f98-b769-923fa7ef2e21,Galal,Ibrahim,"Galal, Ibrahim",Male,-24,01558949220,Doctor,Emergency,Nurse,MD,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
413e321f-a808-4a38-bf19-ab2a3fd53471,Eslam,El-Shazly,"Eslam, El-Shazly",Male,-59,01012204306,Doctor,Emergency,Paramedic,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
02ea92cf-cab4-414e-ab9a-b3bffd6850ab,Shereen,Helmy,"Shereen, Helmy",Female,-40,01187103611,Doctor,Emergency,Emergency Physician,"MD, Emergency Medicine Residency",0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
8eaaedd2-7f90-4247-9500-415a22c28a43,Nouhaila,Elgohary,"Nouhaila, Elgohary",Female,-72,01245221515,Doctor,Emergency,Paramedic,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
a047e3d4-6014-44e4-ab9c-65e74cb686f3,Fatima,El-Taher,"Fatima, El-Taher",Female,21,01245424725,Doctor,Internal Medicine,General Practitioner,MD,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
c79d3f54-adb7-4a87-a446-e5f0285eea04,Hany,Mohsen,"Hany, Mohsen",Male,-57,01585626083,Doctor,Internal Medicine,Nurse,MD,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
2bc5a1e9-0d78-4b55-87eb-e85cf89d7a2b,Mariam,Fouad,"Mariam, Fouad",Female,22,01057905790,Doctor,Internal Medicine,General Practitioner,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
58cf01f7-49a2-4987-8f8a-a3792cdf19c1,Hebatallah,Hisham,"Hebatallah, Hisham",Female,-36,01239458932,Doctor,Internal Medicine,Nurse,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
ade7882c-8191-4a86-8264-08a757ba0df1,Ehab,Elsayed,"Ehab, Elsayed",Male,-71,01150131791,Doctor,Internal Medicine,Nurse,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
2e40c43c-8a82-422e-841d-01a2ed65d1c4,Tala,Abdel Latif,"Tala, Abdel Latif",Female,-39,01170018815,Doctor,Internal Medicine,Nurse,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
9b38124b-cc03-408f-b385-b7f02635d610,Hanady,Hegazy,"Hanady, Hegazy",Female,-72,01021287172,Doctor,General Surgery,Surgeon,"MD, Surgery Residency",0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
4652d949-b3f2-43cf-85e1-9899fd6a8d1b,Huda,Abdel Raouf,"Huda, Abdel Raouf",Female,8,01181098486,Doctor,General Surgery,Technician,MD,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
64e9be7e-d722-435b-b50a-08597a5d6197,Noor,Fouad,"Noor, Fouad",Female,13,01282011745,Doctor,General Surgery,Technician,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
4dca99a7-d13d-45e3-b74b-4af1c146f661,Abbas,Abd El-Wahab,"Abbas, Abd El-Wahab",Male,-18,01036520317,Doctor,General Surgery,Surgeon,"MD, Surgery Residency",0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
bd23251b-7f1e-4adc-a12a-51f54d001228,Nour,Abd El-Rahim,"Nour, Abd El-Rahim",Female,-50,01067238366,Doctor,General Surgery,Surgeon,"MD, Surgery Residency",0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
e90b94cf-9610-4dd0-a7d8-d3fe790e8736,Sonia,El-Hadary,"Sonia, El-Hadary",Female,7,01237854563,Doctor,General Surgery,Surgical Nurse,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
f304dbfb-ef6a-4113-891a-8810487a2070,Hadia,El-Beltagy,"Hadia, El-Beltagy",Female,-65,01156269686,Doctor,Pediatrics,Pediatrician,"MD, Pediatrics Residency",0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
eb4a9c7b-dc82-45ab-95d9-55b52ca186d8,Maha,Helmy,"Maha, Helmy",Female,-65,01019796439,Doctor,Pediatrics,Technician,MD,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
3f771b68-8949-4cc7-82ea-1d7732dded4c,Ahmed,Hammam,"Ahmed, Hammam",Male,-66,01229709108,Doctor,Pediatrics,Pediatric Nurse,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
a8590ade-4efa-4e8f-85a9-93baaea17358,Nisreen,Elshamy,"Nisreen, Elshamy",Female,-48,01589069478,Doctor,Pediatrics,Pediatrician,"MD, Pediatrics Residency",0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
7a10cd37-7582-45d4-9f98-b7f276be5449,Akram,Saleh,"Akram, Saleh",Male,-72,01560666797,Doctor,Pediatrics,Technician,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
526b0c63-16e3-4b71-a7d1-dac290934e97,Sherif,Saad,"Sherif, Saad",Male,-72,01219319225,Doctor,Gynecology & Obstetrics,Midwife,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
cfd0a5fe-e590-4a75-8c3c-ea6220196948,Amani,Abdel Wahab,"Amani, Abdel Wahab",Female,-20,01158420111,Doctor,Gynecology & Obstetrics,Nurse,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
73bce54f-0925-4374-9385-630714fcaa61,Younis,Shawky,"Younis, Shawky",Male,23,01027916723,Doctor,Gynecology & Obstetrics,Gynecologist,"MD, OB/GYN Residency",0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
cdc2a58d-954b-43f2-9fbc-e3d21cbe38ca,Amr,Samir,"Amr, Samir",Male,12,01577054228,Doctor,Gynecology & Obstetrics,Nurse,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
2a7f5762-dfc1-45a6-a00e-04b0f6ef14f6,Inas,Helmy,"Inas, Helmy",Female,-72,01583631582,Doctor,Gynecology & Obstetrics,Midwife,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
367ac4c8-797c-4a9d-b2ac-acf8c5d7b2e9,Hussein,Shaban,"Hussein, Shaban",Male,-44,01070559817,Doctor,Gynecology & Obstetrics,Obstetrician,"MD, OB/GYN Residency",0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
a2cc99ff-e877-43bc-9371-11953fd1fb81,Kamal,Helmy,"Kamal, Helmy",Female,-21,01271781044,Doctor,Radiology,Radiology Technician,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,True
2ea244d0-ebf6-4823-914d-149b5637b691,Abeer,Helmy,"Abeer, Helmy",Female,-42,01225581874,Doctor,Radiology,Radiology Technician,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
cd86aa73-32be-44dd-b013-ed40a33bfa97,Fawzy,Akhmed,"Fawzy, Akhmed",Male,12,01197903823,Doctor,Radiology,Radiologist,"MD, Radiology Residency",0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
6e810283-56cf-4378-9407-d5d15f5201fd,Huda,El-Shazly,"Huda, El-Shazly",Female,-25,01217522280,Doctor,Radiology,Radiologist,"MD, Radiology Residency",0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
e913d753-8ad1-4e90-9124-de51b96ecac7,Marouf,Abdelrahman,"Marouf, Abdelrahman",Male,-19,01062425010,Doctor,Radiology,Radiologist,"MD, Radiology Residency",0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
b6d5f7e4-1656-47b7-b46c-8e8c80dd14fa,Basmalah,Rashad,"Basmalah, Rashad",Female,-32,01526373413,Doctor,Radiology,Radiologist,"MD, Radiology Residency",0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
fc662cbb-27d6-4d5f-8dfd-4e54cb7c5799,Raniah,Gerges,"Raniah, Gerges",Female,-67,01176209577,Doctor,Radiology,Radiology Technician,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
931b866f-3ebe-40c2-94c8-d9c6bdf5309f,Ritaj,Fikry,"Ritaj, Fikry",Female,23,01523000158,Doctor,Laboratory,Lab Technician,BSc Laboratory Sciences,1,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
b70fc69e-e9fb-4e03-88aa-c856d5edb479,Gehad,Hafez,"Gehad, Hafez",Male,-45,01154508566,Doctor,Laboratory,Pathologist,"MD, Pathology Residency",0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,True
17d77c29-db81-4b3e-94bf-2018f7043261,Rawan,El-Masry,"Rawan, El-Masry",Female,-19,01067363665,Doctor,Laboratory,Lab Technician,BSc Laboratory Sciences,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
df5ff1b2-13e2-4db7-8565-b73f10ca3cc5,Sherine,El-Kholy,"Sherine, El-Kholy",Male,-71,01017785773,Doctor,Laboratory,Pathologist,"MD, Pathology Residency",0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
426fbf8f-e2d7-4e62-8c9c-62e4bdfc97af,Ayman,Elsayed,"Ayman, Elsayed",Male,18,01520098470,Doctor,Laboratory,Lab Technician,BSc Laboratory Sciences,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
1f86887c-281b-46a2-9dfd-05b1056d77f9,Waleed,Abdelhadi,"Waleed, Abdelhadi",Male,13,01232915245,Doctor,Laboratory,Lab Technician,BSc Laboratory Sciences,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
914f2f0e-a04b-4048-beba-a7b4b01c679d,Maha,Fikry,"Maha, Fikry",Female,-54,01163991873,Doctor,Laboratory,Lab Technician,BSc Laboratory Sciences,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
8d7af075-84b1-472b-ac03-5d4823db196b,Thanaa,Saeed,"Thanaa, Saeed",Female,-40,01289556748,Doctor,Physical Therapy,Rehabilitation Nurse,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
0720c23c-b239-4a15-af1f-4ed739194a13,Younis,Akhmed,"Younis, Akhmed",Male,-59,01288163024,Doctor,Physical Therapy,Rehabilitation Nurse,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
638b6d6b-ff44-491a-bae7-ff586f1c035b,Bassel,El-Sayed,"Bassel, El-Sayed",Male,-51,01053506838,Doctor,Physical Therapy,Rehabilitation Nurse,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
3eadcdde-a650-461a-b715-c58420859b47,Hassan,Abdel Monem,"Hassan, Abdel Monem",Male,-58,01584376077,Doctor,Physical Therapy,Rehabilitation Nurse,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
8527aa98-00ff-432f-a577-5058f6218d10,Leila,Khaled,"Leila, Khaled",Female,-51,01295553004,Doctor,Physical Therapy,Physiotherapist,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
1356afe3-0e74-48b8-be18-197be14788d8,Noha,Metwally,"Noha, Metwally",Female,-18,01296799021,Doctor,Physical Therapy,Rehabilitation Nurse,MD,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,True
353e727d-fdc9-4348-983e-e8e022af652d,Youssef,Kamal,"Youssef, Kamal",Male,-40,01218005831,Doctor,Physical Therapy,Rehabilitation Nurse,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
b3484bbb-3a7e-473a-bf2a-a5381a956507,Yusra,Abdelhadi,"Yusra, Abdelhadi",Female,-66,01151717757,Doctor,Cardiology,Technician,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
d0513b90-8786-42f9-bdcc-89e1e8818232,Eslam,Shehata,"Eslam, Shehata",Male,-55,01145626186,Doctor,Cardiology,Technician,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
569151bd-7e41-4a18-8cfa-3866d7049fcb,Anwar,El-Kashef,"Anwar, El-Kashef",Male,-54,01159915343,Doctor,Cardiology,Cardiac Nurse,MD,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
73b84d3a-c8fd-431a-be41-7a78efc80116,Jihan,Mokhtar,"Jihan, Mokhtar",Female,19,01577503102,Doctor,Cardiology,Cardiologist,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
91a2ff1c-2ab2-46bf-82f2-4ad800d1f2b9,Sumaya,Abdel Nabi,"Sumaya, Abdel Nabi",Female,6,01135408263,Doctor,Cardiology,Cardiologist,MD,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
877bbc8e-e3fa-4fde-a343-280c36a4febb,Hamada,Behiry,"Hamada, Behiry",Male,9,01047402821,Doctor,Psychiatry,Psychology Counselor,MD,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
55a8b051-c092-42ff-b598-f8671cced858,Talal,Soliman,"Talal, Soliman",Male,17,01222257380,Doctor,Psychiatry,Psychiatrist,MD,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
25eb7d51-865c-4dda-93b1-3625b2fb0869,Ahmed,Abdel Latif,"Ahmed, Abdel Latif",Male,-50,01211081813,Doctor,Psychiatry,Psychology Counselor,MD,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
bf47523f-9605-4633-863e-8318b5b4e671,Rowan,Abd El-Salam,"Rowan, Abd El-Salam",Female,-21,01530122449,Nurse,General,General Nurse,BSc Nursing,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
05eb5990-9908-4f3d-8781-25618845bc0e,Ziad,Hussein,"Ziad, Hussein",Male,-23,01050710325,Nurse,General,General Nurse,BSc Nursing,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
d92e9f18-013a-4818-b02a-a535de42418c,Monir,Samer,"Monir, Samer",Male,19,01570024590,Nurse,General,General Nurse,BSc Nursing,0,Evening,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
ecc16e80-6dc9-4af9-a78e-8166a755873e,Kamal,Elshazly,"Kamal, Elshazly",Female,9,01192173066,Nurse,General,General Nurse,BSc Nursing,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
8b841e6d-6ba2-4b8b-abf9-6446d4f270a7,Fadila,Abdallah,"Fadila, Abdallah",Female,-20,01543779348,Nurse,General,General Nurse,BSc Nursing,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
b20b16a3-f8f8-43e7-90d3-6788a6ab7af2,Nahla,Hammam,"Nahla, Hammam",Female,8,01211579175,Nurse,General,General Nurse,BSc Nursing,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
2f5d7017-6177-4a6d-89d5-a5faca5d13ed,Shaden,Hafez,"Shaden, Hafez",Female,9,01063668015,Nurse,General,General Nurse,BSc Nursing,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
5e20510e-8bc0-4412-bf84-56e3fa18a30a,Dalida,Mohamed,"Dalida, Mohamed",Female,-21,01255167911,Nurse,General,General Nurse,BSc Nursing,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
afde2d00-5c02-499d-a355-995f931a84e5,Akram,Metwally,"Akram, Metwally",Male,-48,01175864701,Nurse,General,General Nurse,BSc Nursing,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
8d23969c-34f5-4a3e-a953-8ce44cf2f88a,Nouran,Hassan,"Nouran, Hassan",Female,7,01081957414,Nurse,General,General Nurse,BSc Nursing,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
3beaf1e4-f23d-4820-b6b6-3888d59b9198,Gehad,Khaled,"Gehad, Khaled",Male,-56,01517293234,Nurse,General,General Nurse,BSc Nursing,0,Night,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
3055881e-94de-4121-b559-416d29b774f4,Yahya,Sultan,"Yahya, Sultan",Male,19,01251606918,Nurse,General,General Nurse,BSc Nursing,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
020e0e34-7a3e-4266-b48d-bda645d8f18a,Sana,Abdelhadi,"Sana, Abdelhadi",Female,-31,01289823748,Nurse,General,General Nurse,BSc Nursing,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
2a532dd8-b758-420a-9cf7-0bed9f5537ef,Ehab,El-Kholy,"Ehab, El-Kholy",Male,9,01229784002,Nurse,General,General Nurse,BSc Nursing,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
05fdaf53-4f78-43f8-9a31-bc84b5bed1ff,Monir,Hamouda,"Monir, Hamouda",Male,-57,01267935556,Nurse,General,General Nurse,BSc Nursing,0,Morning,84f84087-902c-47b0-930b-78a2336ee56b,,Cairo,Cairo,False
